Samples,Mode,Diet,Genotype,Set,Type,Litter_ID,Emb_position,Prot_quant,pC1,pC2,pC3,pC4,pC5,pC6,pC7,pC8,pC9,pC10,pC11,pC12,pC13,pC14,pC15,pC16,pC17,pC18,pC19,pC20,pC21,pC22,pC23,pC24,pC25,pC26,pC27,pC28,pC29,pC30,pC31,pC32,pC33,pC34,pC35,pC36,pC37,pC38,pC39,pC40,pC41,pC42,pC43,pC44,pC45,pC46,pC47,pC48,pC49,pC50,pC51,pC52,pC53,pC54,pC55,pC56,pC57,pC58,pC59,pC60,pC61,pC62,pC63,pC64,pC65,pC66,pC67,pC68,pC69,pC70,pC71,pC72,pC73,pC74,pC75,pC76,pC77,pC78,pC79,pC80,pC81,pC82,pC83,pC84,pC85,pC86,pC87,pC88,pC89,pC90,pC91,pC92,pC93,pC94,pC95,pC96,pC97,pC98,pC99,pC100,pC101,pC102,pC103,pC104,pC105,pC106,pC107,pC108,pC109,pC110,pC111,pC112,pC113,pC114,pC115,pC116,pC117,pC118,pC119,pC120,pC121,pC122,pC123,pC124,pC125,pC126,pC127,pC128,pC129,pC130,pC131,pC132,pC133,pC134,pC135,pC136,pC137,pC138,pC139,pC140,pC141,pC142,pC143,pC144,pC145,pC146,pC147,pC148,pC149,pC150,pC151
mix3,pos,mix,mix,,mix,mix,mix,mix,3858.964739,68814.42531,196020.8481,863183.7429,36304.42298,37399.87558,36957.87929,40258.26328,39875.59541,36862051.64,319504.0893,28394.12026,551623.4663,81323.20806,70157.86987,350090.7709,4684.038951,8819362.845,18154.50869,1355453.027,13997385.99,462888.1539,207009.095,6701933.468,1713.840014,120753.5157,23169.12328,11611.19891,25825.31552,125735.3864,128405.6228,4563354.493,2304562.969,1506713.825,512821.1461,479014.3535,447095.7496,559261.553,1330195.33,7404.775917,55207.94728,17086.16768,234397.2696,321707.096,1552659.155,2635572.867,12831.41695,3835425.369,755008.3449,173904.458,5830.809069,512.6969577,7540.182455,2764080.195,3497.720794,27367.35402,477536.2353,8864766.019,1446760.473,12939.95786,101204.6401,3290.997675,19842.67865,9393.766191,2722562.683,23738.22707,23275.96475,1454.78565,688096.3593,70932.24079,8141191.896,8865.091385,3021527.422,135183.0972,12807.49964,1722417.062,487926.466,41640.84601,97303.60041,459027.915,358299.5,13645.60433,17356.78231,9626.73076,4311.750765,18696.56045,254310.2591,6309.103118,30198.17584,5614.632187,1282332.665,1462.189826,40268.24722,14200.11183,8315.185272,193123.3146,3535.972109,6160.682749,93375.77883,27266.9417,20705.85775,435433.8432,1296.657628,47516.66196,31457.13924,121.4460538,2835.760938,1078672.518,7026.86514,49430.33379,116656.1821,763.5280135,2319.221089,2411.509729,5703.758361,321.4816669,48206.86193,31423.60896,992697.4212,82697.797,42146.06945,19348.57884,35658.62094,648543.2251,65079.75092,36573.83334,728.4980042,106049.9135,239198.1942,36220.25706,29308.28567,19856.8049,45907.17711,5036.936071,31533.20609,20069.17519,677.6291302,426922.1881,89942.61146,6289.836302,6668.346593,12216.4291,4581.485258,8323.074139,284054.7619,62600.62325,298339.1393,36231.9285,10127.13772,6767.741725,6568.697238
mix4,pos,mix,mix,,mix,mix,mix,mix,4176.173983,64284.64009,219062.8704,874715.8819,35404.1888,36073.7737,35730.99761,40403.7933,39974.98741,37521308.35,332016.0833,30613.5517,551636.4567,80648.88472,74974.46462,349482.9421,6796.380343,8875558.591,16355.14041,1332395.422,14147042.68,469304.8691,209498.8899,6810509.796,2285.063333,121655.6035,22492.33063,9646.450195,28498.89013,130511.0768,130566.3891,4627417.597,2333203.307,1516257.919,525350.5385,477078.1383,446921.6225,556415.649,1303021.467,6064.008885,60061.0327,17166.83737,239183.5312,332364.03,1576745.128,2605057.678,11625.5854,3918683.113,759802.3952,173315.4264,7159.309006,1017.737541,6468.231467,2817513.323,3836.173643,28677.57542,486216.7845,8903297.257,1442260.878,11797.38649,102661.9616,2772.116079,19173.38023,10106.91859,2706793.417,21813.03738,27036.74639,1954.747769,680374.3059,73550.69484,7967051.226,7017.243612,3027822.348,138113.3074,12255.4143,1710886.143,482402.7167,39627.54701,95841.97071,452339.7524,363616.8545,11276.83605,16703.78963,8179.32171,3351.385794,20265.01755,257856.3574,6297.86735,30579.77529,5756.531349,1279882.864,2231.499765,37946.41865,15322.44432,9106.575972,191490.4756,4129.887762,4510.694921,95877.42669,30391.53213,23130.6894,432792.6487,13008.77513,48947.0777,30013.3235,542.9508336,2922.727763,1101498.148,6543.816366,50983.29032,111198.0082,1212.809746,3054.661546,3210.251482,5725.980604,468.1646866,45820.42811,32717.00286,993481.7565,81316.3303,42358.21004,18046.2747,36126.06168,650447.3189,65893.12055,36390.38855,1483.341505,105078.1267,248164.3873,42204.46731,31702.96731,19577.86341,46611.01986,5663.239159,32915.25538,19640.5568,563.6371426,426803.8771,84986.4874,6772.263098,7683.762663,11957.61523,4478.892522,8903.973463,288330.2709,63026.42835,298531.0749,43319.13448,10569.78586,7445.695033,6701.220589
mix5,pos,mix,mix,,mix,mix,mix,mix,3474.951093,74990.94724,202631.6512,893615.722,35955.38924,36602.47429,36220.71266,39500.23473,39157.96781,37612504.99,337496.6168,29303.24906,547856.2176,85886.28254,70950.74273,345357.3841,7990.079384,8830030.444,18889.7339,1357820.478,14194237.83,457244.0459,211467.4576,6813164.179,3441.782685,124554.2317,24409.47412,10747.45047,27435.65723,121506.2105,123211.5639,4598524.083,2350956.398,1538799.954,511184.8058,480133.9229,456293.5562,577995.1706,1305221.785,7921.69336,59280.03046,18788.25743,236738.3457,326342.185,1561276.564,2601478.678,12261.58077,3822106.266,768536.576,180471.6204,6660.29627,741.8124451,6582.65343,2824128.104,4070.11781,27017.41355,493942.5348,8897905.649,1471441.709,11242.6313,105089.654,3229.336965,19921.89829,9814.509317,2689584.554,22366.868,26017.12826,1473.669859,691059.4716,69968.58499,8720476.888,6990.988918,3019392.187,138059.0263,15203.66949,1691696.694,478496.4148,35760.57266,95601.33186,467037.4445,359011.319,12689.60827,18686.6641,9050.127328,3741.715751,20971.25319,265039.8407,6295.885571,31571.36239,5881.674372,1258751.382,2423.333064,41825.13792,15832.56026,9179.226045,192600.0846,4487.585496,6490.255261,96247.31924,29163.07183,21103.83698,446017.0947,1230.566459,46841.95541,27928.22511,217.8779979,3342.178745,1114594.793,7065.35111,49183.75924,112071.8792,2063.630893,2945.011219,3794.174865,5460.591241,256.9106746,46064.04882,32917.42116,988095.525,86545.68453,38908.95586,17817.23136,37264.43242,657846.1293,67850.8164,38006.77912,1878.738812,106666.116,243703.5478,37163.02287,29878.40944,19923.84994,47085.33304,5881.203827,32481.69895,20486.92827,1149.793448,420871.2261,87480.18153,6727.956947,7339.043797,12622.95091,4025.235335,9279.434485,288863.2038,64324.82149,295232.8504,44323.31826,10346.72541,6720.875114,5970.344344
mix6,pos,mix,mix,,mix,mix,mix,mix,2892.846809,61574.21521,196322.6057,771528.9759,36275.79752,37487.85892,37074.24916,34927.24685,34363.87873,35229015.1,315897.9778,25631.45688,489073.613,85381.88654,66410.03883,300355.7102,7380.088468,7913304.725,15394.71598,1165244.979,12438127.68,427880.4668,187391.9371,5976701.253,2537.520954,108040.4252,19864.39924,11075.58933,22955.58075,114176.611,114171.4355,4137540.807,2026987.559,1334413.113,446568.9909,400435.7936,389456.8264,509710.4975,1204566.679,9490.802072,52266.92775,14989.59644,203237.4514,307239.3415,1502206.217,2310234.337,11884.04156,3397112.418,656899.5707,154172.0838,5492.623981,454.0645364,6496.843068,2544759.399,3489.851136,24676.31706,461250.442,7912780.843,1400671.204,10251.23002,84754.27465,2856.104162,19204.51318,10450.75133,2371702.785,19082.25138,22842.34581,2673.959935,613131.1647,62589.92062,6908753.141,5818.638349,2488862.325,119078.0166,11216.52824,1507491.839,429196.3761,34540.13813,83581.42434,395876.3478,367325.7206,8358.392946,17810.1535,9246.428641,2979.46599,17580.14898,256216.868,5225.350473,27414.12273,5046.836055,1147668.345,1579.960137,35563.85014,14913.97146,8402.925572,174948.9511,3629.039181,5972.155778,92133.73016,32216.14769,21949.9348,419494.1855,1066.034173,40658.24195,28181.73977,120.2852382,938.2331746,942531.608,6942.995635,44792.84484,98381.21837,1243.056555,2364.944262,2601.968788,5274.102871,,41008.32121,32115.20642,965068.6898,78350.6651,36656.80176,15505.56029,38948.37015,560008.824,56104.97487,33143.6505,1377.963169,94648.8279,216740.6436,44061.70432,28908.79246,16960.86728,43167.7149,5716.697015,31625.66524,19223.55158,650.3598811,400778.9268,76558.66306,7067.575224,7686.248036,10701.74876,4585.70939,7635.855794,263828.2912,63357.89236,282453.0852,26641.68704,8735.593646,5109.299223,6134.426288
mix7,pos,mix,mix,,mix,mix,mix,mix,4334.534096,61960.9707,166849.5921,714979.5598,30893.81317,31728.92275,30963.88402,28357.0175,27920.54302,31618669.68,278974.2373,29449.03892,440979.0392,75680.58908,57304.48525,253837.5751,2554.995589,6976147.562,14234.11428,1101491.466,11943191.39,381312.6946,166930.281,5794716.239,2297.170904,98822.95261,21505.21811,10783.39783,22867.80821,98291.88459,97818.32663,3721680.753,1858473.826,1130902.855,434821.3794,387450.7829,376309.7258,458237.8041,911499.2972,9020.022905,51307.43865,15741.496,223287.2233,273845.8486,1186859.196,2014934.052,12651.34108,3090120.405,644002.3089,149068.4448,5238.162858,1430.497241,5572.255504,2122720.583,3883.651827,33572.44115,371538.6468,7069691.346,1203715.631,8873.270698,87715.96129,2553.632072,18511.72486,13079.35202,2160074.2,20415.23476,23439.21368,3057.360728,502317.5909,52000.94174,6911302.013,8654.035262,2311875.124,121745.0093,10468.72611,1330371.878,400233.0855,33673.46045,73580.90967,382034.197,308349.4358,11430.23098,17160.88966,8740.466622,3701.844108,19091.5017,207622.306,5985.676895,25499.23348,5105.720064,900383.95,1493.149691,37152.9092,13102.78036,7337.590413,163014.0097,4742.153092,5912.012005,76671.16313,26938.402,17962.46445,395855.3292,12614.75816,42208.36546,25797.43245,362.7125412,2615.170384,773194.2518,6137.762661,42698.37333,94340.28122,1642.751713,1749.662757,3790.287301,5387.541344,365.456762,43792.56934,31210.12928,827322.7615,68931.04715,40799.06381,13460.62443,31552.34414,543016.2329,55531.95753,35217.41491,613.8643512,101193.0697,158193.6021,40786.19491,16901.71411,17246.75675,41779.22473,6066.434819,23975.48402,16528.22204,1522.468213,330190.0854,91107.02707,10023.17482,8756.344931,11513.4117,4465.692738,8467.294228,240657.6497,52074.46605,245330.8928,24941.39395,4444.651664,5778.738042,7201.523121
mix8,pos,mix,mix,,mix,mix,mix,mix,2866.598833,51797.53862,164027.1401,698989.3051,28778.79605,29104.26197,28719.72845,28796.22275,27910.54327,30183834.63,259387.792,23624.39189,419390.4828,77375.86613,52958.00651,258034.243,3938.768103,6691397.31,14851.66622,1057442.666,11178419.06,370536.4976,161608.78,5297256.77,2777.844544,95674.46452,16757.43528,10872.30334,19843.05646,100426.5637,100342.4402,3601056.121,1809234.665,1183795.621,399819.8099,351276.6768,346130.1772,461992.3265,1004941.032,7691.068454,49938.4806,13615.62985,192597.0952,259910.4289,1204080.976,1984687.715,10838.14649,2889892.772,609412.0611,152372.4487,4705.775775,382.0163623,5899.67795,2166669.741,2700.907476,22953.17403,396575.1534,6870102.312,1173068.405,9176.752917,76144.1507,1668.911916,14479.51217,10656.09022,2089347.139,15778.3507,21111.81238,1992.85684,508831.2364,51932.73096,6260519.215,5811.118734,2023954.153,112752.0425,8565.066617,1279965.819,369950.7108,30644.18752,65812.93492,348880.8256,303440.1762,12193.28283,16962.18834,8168.389113,2516.39134,17917.55981,199801.603,4341.802128,21777.62381,5247.865533,920571.0862,1183.841187,31895.39714,13944.17953,7718.0956,161488.7456,3596.892095,4846.285641,72741.24188,24579.09357,16019.61651,382471.0748,9268.023938,37216.26857,21782.14628,678.1765443,1950.405821,680811.3034,6595.94841,39324.10662,85840.0343,1336.529782,2070.059998,2115.75559,4262.667391,338.7081586,39961.69408,26506.12075,814359.9415,66573.62907,30206.44685,11799.25943,29375.55715,483036.5749,45871.54998,26109.3968,1197.060829,85613.36287,164849.1043,42897.41393,20183.55671,15447.89566,36067.58792,5504.894813,25020.43895,15381.62203,651.0841754,309286.4007,72603.59812,6532.399382,6934.857919,9935.021154,2963.124271,6725.595221,221819.7713,52804.32262,233250.4593,25117.37636,6475.304266,4529.809111,4954.326669
mix9,pos,mix,mix,,mix,mix,mix,mix,3958.942211,51032.93433,148128.2459,615402.8978,27555.85641,28511.48862,27870.14283,33503.63908,32965.37443,29564905.03,262962.9966,26762.60972,361658.5822,68965.63664,49452.216,231187.9511,7428.333142,6082931.345,13901.29669,932287.2848,9642818.379,325299.1344,152003.5908,4893835.901,2698.26408,86336.08933,18211.96051,9480.553425,22399.43748,80952.91432,80629.74771,3447897.451,1625031.241,1076500.985,364845.2304,338598.8068,314890.0175,412570.9897,898059.8814,7452.262451,42939.31769,14328.99336,169369.0847,246867.5016,1297661.61,1856811.082,12440.59713,2760576.774,531882.076,127363.049,6156.998745,403.4548352,4985.426512,2101784.188,3679.646576,23865.06056,395849.1394,6696169.044,1109610.575,9198.65154,70022.43803,3157.015187,15893.55519,11215.98515,1909615.618,17301.13787,20133.26282,4137.871154,459215.7234,52900.45145,827.6225674,9317.744532,1649858.645,100074.7952,8030.837362,1153822.497,326256.803,28659.89171,60756.86552,306033.3787,284700.8217,8179.836789,15696.12316,8104.486554,3300.574469,15669.0374,201422.2624,6417.734662,23122.07095,4891.703432,852976.8056,1206.931683,29035.63813,13159.15277,7040.89959,141618.9764,3779.901609,5714.156889,65229.41116,26270.54068,17103.1986,375215.7902,9158.850527,35482.34888,21356.30399,889.835684,1669.560883,581265.5702,5787.326701,39922.39498,80464.39855,1499.804629,3225.466982,4458.206549,3820.199072,684.1046922,37947.79273,27548.89893,749122.1537,63273.70509,29176.04468,11360.03499,30498.43485,450565.2177,43548.78765,29458.65271,1236.340335,70381.33974,167805.0464,36686.64958,21543.79985,15933.76372,31836.71146,5101.109095,24912.13619,17473.85771,1040.9439,287500.3186,69034.23983,6516.858345,7717.649229,9199.947216,3016.918926,6327.556377,198479.3742,56525.99637,214016.4703,19462.4864,8385.737007,6519.873485,7652.198074
set1_blue_546_R2,pos,10ppm_FA,wt / ko,1,sample,546,R2,65.2,3890.986599,66581.12196,233218.5762,877645.5839,47257.13731,48171.97893,47745.87506,41032.40614,40395.42573,32905346.52,311315.4341,24727.22038,536401.8479,57422.8313,111239.0518,564425.4818,4638.505404,9047717.662,20673.27108,1624920.484,14688978.3,580238.3118,302590.0332,6025461.216,3127.852073,148620.0333,24910.30145,9856.591031,41860.11971,118127.0602,117678.2318,4855065.888,2858538.14,1911601.271,563153.751,576454.0598,401707.747,401489.0121,2632882.197,14677.08694,70336.75452,14877.7234,158876.3143,255057.9611,1655998.747,3692161.343,10708.994,4161959.113,843597.2148,268823.2236,25296.85459,974.3077316,12888.38971,3517680.474,5423.376902,37803.02951,438144.7088,8372457.988,1847126.465,15609.86284,125094.0198,1222.104787,16670.52126,6588.307804,3585459.135,35134.00737,28571.5919,1314.98294,876479.7355,92365.44522,5024823.44,13876.275,7378099.639,176093.1353,23076.36449,1950662.059,680774.9421,62786.40784,156614.7881,718009.7864,255052.9812,23187.57419,13841.45116,5806.258813,3199.778264,26023.05113,379175.3733,10356.97545,43448.37297,7203.721795,1265603.229,1358.817168,49956.34901,31500.52634,6722.771477,411853.7691,3784.336068,11115.02404,150674.5016,1523.009187,19575.52671,408196.2088,64781.49698,18208.60269,27556.16551,2129.818205,2766.327836,680084.2915,11932.51251,48864.00556,116201.6758,644.1964455,1037.937812,2089.686448,10376.62865,106.3421812,14085.83063,35094.66633,1137887.147,51676.98028,68661.62218,21615.37044,38630.25994,522072.9307,44940.8584,21251.55901,423.4384679,71502.18353,230618.3534,51539.8107,24906.52906,16924.47792,19023.32577,3819.88996,7442.553776,11811.28154,115.0646461,143501.3736,36812.75963,4987.129366,4666.800383,8295.347984,1942.332577,7822.534378,220787.4469,18660.27823,171184.1289,50846.39277,3201.339015,4342.259004,6722.233238
set1_blue_617_R4,pos,10ppm_FA,wt / ko,1,sample,617,R4,71.3,3949.90483,44635.96977,165918.8941,796217.8556,23701.38312,24859.56995,24267.04897,34661.76588,34253.94296,43010439.74,330664.7719,24513.04776,464443.4258,54642.33061,74933.41169,295801.2164,5183.199491,7759394.465,15977.4422,1425117.379,10221837.37,455149.1224,216472.2303,5656038.457,3041.351591,45930.77122,18115.00966,9541.78891,30384.55563,103631.8638,102831.3904,3696385.65,2326025.282,1418292.472,389239.1544,473544.2258,207865.7174,470749.8885,1443777.341,4020.412645,64697.01237,13964.37146,249328.7189,237116.1453,2181309.302,2626567.039,9809.209036,3483881.926,743458.6786,171495.7523,10926.72206,579.8128006,8276.614723,2849120.932,2827.71187,27751.79847,417923.2599,7396843.569,1496375.709,9145.487179,66855.67793,926.2239021,16156.80018,14022.78276,2709383.741,36936.18394,18704.32941,941.6416447,638012.0909,66150.49392,6646084.914,1983.874126,1303209.266,106908.4154,8961.964443,988616.9092,443574.1413,31158.13541,21738.06171,519967.9034,325856.6061,11480.00714,13707.87119,6520.578652,1695.319099,9229.364623,261694.8775,6896.823203,31894.74201,5014.189499,1351610.067,1633.763666,51851.36137,12312.75809,8917.305191,208481.0959,3203.877621,5616.91073,114214.1035,3769.555499,16255.05962,352761.6554,2504.95082,14453.36731,22899.68846,740.5663343,2650.620325,814523.2394,12933.56734,43123.83009,75943.15509,1469.877323,2770.257656,2391.986927,9062.208,382.6877781,31603.00532,38399.69577,1103494.069,85064.46204,44202.74569,18259.27386,31542.51809,839527.6138,33476.25263,17150.03325,1177.357155,98113.99764,139010.947,65010.00109,22007.24694,16565.71109,48801.5596,4097.827652,7009.289657,41581.89175,222.8924648,189838.2939,50320.90264,5099.450069,8477.185621,17666.32128,3046.668304,6307.167808,251103.5274,80065.1583,260679.9756,47782.91021,5729.606083,4893.800502,5338.040179
set1_blue_618_R1,pos,10ppm_FA,wt / ko,1,sample,618,R1,62.6,6265.133174,48059.97374,196257.0082,816849.6862,44192.20802,45240.5959,44567.29974,29772.36138,29164.13153,27494064.28,310745.029,21046.23486,496365.1885,41527.38245,47087.41562,376777.1769,2631.348785,7600857.014,17905.40816,1396582.57,10752783.83,428136.1648,178205.4954,5442698.689,2138.56118,76903.44255,19137.56034,9954.155788,23630.8724,101926.7773,99913.54453,4223578.074,2250466.429,1508556.515,436942.4738,338532.6099,274039.7972,528696.4692,1084727.476,3984.700803,68980.87196,10929.50191,210274.6719,216143.7896,1861057.34,2282079.448,18288.22197,3126809.685,766992.2894,100929.913,3552.139947,922.4345434,10317.28708,2655184.95,6087.624655,29574.11897,388113.5473,7148679.776,1373960.518,9208.445712,92031.16574,5587.284342,15113.5279,15570.5786,3010529.172,31203.30301,22305.74137,1620.802476,617432.3919,67556.70591,17248.65654,3222.095395,4668828.435,126363.7629,26374.61745,1511814.229,448690.5344,25704.32472,70651.09006,300711.5878,307206.9376,6600.003845,8764.496758,5132.868551,2608.041843,13265.39335,220059.1913,9940.376655,26083.04974,6399.82033,1142593.352,1808.121502,47415.74641,26528.94749,6022.586119,135650.3092,3046.709274,8030.488404,56376.40149,5499.571798,19008.16089,307765.6194,7674.407005,20149.01512,27583.78636,1964.241981,4042.560659,939179.8368,6252.328057,45945.23106,103136.5797,1788.498694,7099.843935,4690.323955,3692.729029,519.4278403,24843.08589,32632.12037,923965.4811,62943.30786,36991.61747,13153.13494,25869.33843,503861.6232,63940.75969,33600.46677,4624.195087,77517.04526,225021.4032,47038.6582,18914.90392,15084.64821,53055.19023,7609.393201,20375.12597,27262.07166,3009.53687,370162.388,73545.14048,6772.372286,9039.62786,13460.80932,4578.777996,8897.641182,275410.2903,20141.82546,278749.2877,44109.65545,2951.216141,8037.032549,7919.185304
set1_blue_648_R3,pos,10ppm_FA,wt / ko,1,sample,648,R3,45.6,4562.89035,66999.16845,178803.7285,635189.5332,18316.64316,18589.74194,18257.52488,31639.79026,31370.63694,24193741.6,252320.8472,250587.9824,368553.5085,94182.00818,39450.83833,503803.7954,5899.101771,6615454.259,15476.73253,1041739.746,10088826.9,398924.3023,120695.0186,5286073.001,3607.883773,118385.0304,17547.04737,11287.85457,20586.26375,93380.58699,93432.54096,3460226.412,1774469.264,1176463.685,541376.3479,278770.0034,364997.6728,466988.1625,754582.9344,5823.011284,70016.21028,13954.08706,148393.6645,211577.739,699001.1505,1521430.233,14876.13399,3555743.443,572268.1867,145737.7985,1599.878273,1215.348752,5583.6738,2027098.821,3980.860302,24135.77584,325652.1152,6202852.048,1177528.46,9993.094154,62932.69837,4713.552033,15265.77684,6087.019749,2275271.692,20849.13161,25610.11664,3014.286181,481765.2687,57557.38801,5384112.892,18387.26154,4136393.508,100390.1267,15721.39305,1594694.003,380685.5889,23588.52805,263758.0635,358823.5016,194803.2819,4943.496049,20187.23675,5212.392978,1870.013979,18346.23158,154000.8666,5868.765523,20275.41629,5370.144076,1320534.684,1005.02533,25274.87698,9767.024875,8536.048129,102229.4481,3411.476184,7055.781465,43361.90157,3918.257551,16973.08829,358089.7953,100.3324801,22021.10486,23446.15978,987.5383123,1917.672977,427156.3665,4861.731492,29750.21626,61579.99643,1768.711593,1916.591327,4999.444539,3706.238905,1780.356581,23792.14341,21561.20177,522690.0369,37724.6182,21432.34159,35170.04212,24460.92481,497572.0358,56567.57233,37026.5712,1451.512871,72106.69465,192013.6332,58540.38881,17174.99322,13717.68666,11804.70855,5972.067161,38532.50201,7172.856808,1702.975772,486560.2519,87907.813,5185.882291,9598.922896,14367.68526,4684.345667,7924.836305,229954.7329,31791.71372,318644.0731,50883.76752,4411.18045,4496.950347,7563.965548
set1_blue_669_L1,pos,10ppm_FA,wt / ko,1,sample,669,L1,53.3,1769.655627,45154.57862,98846.56935,56730.5464,12927.7708,13838.80685,13434.31273,51285.24202,50932.28455,35205797.56,36073.7174,15855.75923,143404.999,55427.34273,128788.5328,157694.6664,4245.494561,275528.373,2428.296009,547314.7854,7474613.634,211853.4706,103748.4459,2681001.808,1062.381189,63101.43079,8799.224293,8074.615816,4898.227753,2161282.214,2161276.934,2075488.536,1102370.044,663953.6235,90029.96333,286045.7337,401959.2563,243514.318,1156092.05,4336.6938,71827.68572,12316.46714,105643.91,117631.5344,55167.57865,1064589.109,12712.4733,632187.2768,311562.6271,587419.977,36191.53761,135.6033509,6009.749536,1359177.529,693.4963175,12154.55579,108031.5481,2906066.502,971862.8068,11149.77465,32517.6781,154.5667276,19324.32004,2284.450487,146727.8859,9483.956056,23222.52353,812.5801121,326183.006,34313.88681,3143459.114,912.5965812,1604784.304,142898.2451,3276.82866,398168.3631,275618.3095,12449.35733,24446.66428,528197.0863,121792.5808,4317.930747,7187.174369,2916.221556,241.9842627,10454.24546,255047.9993,2308.488977,33326.49766,2866.066073,574343.2028,533.3139524,27564.37951,2219.335627,7282.179715,108964.4868,9326.891096,26801.27026,129201.7155,7311.521135,1158.700496,427455.9402,1056.898808,13348.86259,14340.18338,113.1833224,1087.21536,384144.6895,4393.695896,24810.3363,48486.95998,669.4600456,244.4657883,241.3618107,4089.345779,,10447.7227,20374.80222,526813.6475,74662.84518,20149.56598,5124.549392,43021.89127,711413.8036,22112.84777,12095.9961,639.5879084,83237.28788,158292.5396,37249.8832,17877.08537,12555.16222,430.4295629,1908.408395,13532.21195,24295.63036,375.8845172,231547.8388,42593.16208,6348.942721,5056.220958,11412.3497,,800.9001807,49613.82944,17363.62849,87117.93819,46140.16173,3112.613158,2779.738317,3864.66435
set1_blue_713_R2,pos,10ppm_FA,wt / ko,1,sample,713,R2,43.1,2700.076274,51441.97983,201079.7201,634847.8556,13492.13196,13772.07801,13453.99059,34318.006,33847.4474,24148456.91,298970.9333,17361.40914,330345.6864,65269.99126,56389.41164,327070.4984,5906.183901,6573307.643,14435.35789,1129416.897,8019752.183,371718.3322,143608.6553,4937182.579,2001.410924,31264.61549,11705.49943,7611.592538,13457.56606,70820.61819,69273.14073,3811420.258,1690008.513,1110020.943,275669.7553,422270.1578,302287.5289,363167.5466,875229.553,3222.459865,76471.63708,8595.957199,102484.7127,185414.9141,1808957.02,1832124.527,15821.94956,2919097.301,554655.4999,124308.3316,2764.774766,160.6359876,1736.44701,2614496.99,2539.988952,13878.33158,350514.3552,6103546.098,1123232.637,4040.770708,51376.25165,698.5398973,11038.83184,7961.616466,1898927.257,30064.69418,21044.99355,315.3674029,524849.0418,54977.88419,5184828.081,3507.742901,2347818.324,83490.20677,9165.062828,729699.1132,353890.17,22623.91882,98795.79945,295017.3816,238151.0215,6151.628792,15407.39557,6945.245243,1491.220702,6941.626752,176513.5309,3322.100612,20426.904,3330.160178,451799.2293,356.0804002,18241.54206,5291.71753,6413.904094,50014.11497,2737.613272,3687.943416,27174.1703,1357.647877,6351.09417,219773.5225,1711.341716,16028.84527,20045.98521,101.604977,1820.481628,783637.5423,4729.898469,22443.4398,48683.88523,785.8969476,1155.61196,1107.03627,3774.79636,257.2199876,32356.25674,19240.14295,600482.0283,11535.66429,19738.30291,11916.11312,21046.99648,346709.2045,30163.19104,22221.22839,988.2930648,62684.14925,209133.4995,26195.18269,22166.31495,17956.53969,11411.02935,2057.715759,20558.28745,6046.324874,231.2774229,315723.673,48959.65805,8054.987482,6626.922494,7401.690171,3344.073162,5143.725582,163689.6208,39416.96898,217578.0363,40722.4766,6509.626649,4405.540878,4403.978438
set1_blue_773_R8,pos,10ppm_FA,wt / ko,1,sample,773,R8,40.1,3850.582342,92910.15412,171379.2732,573312.3316,23944.10698,25095.64292,24022.31766,36787.69469,36137.89937,19811235.94,266640.6741,70601.3764,415708.0479,89378.80326,18113.40751,361664.9639,4942.721347,5769326.117,19136.88318,775683.0867,7148848.696,456107.2886,116497.5229,4686218.687,1365.782999,55099.26435,19534.60753,21210.82,28356.51538,69657.31068,69642.91952,3305762.107,1333612.94,915859.7572,425296.8942,327537.3527,505984.353,370893.1179,438305.563,8235.733332,82546.75986,15512.89925,150095.934,153391.529,223281.1225,1179153.236,27984.85723,2837835.585,466283.3132,147744.7663,1662.053035,437.1091509,1035.423864,1512254.093,2509.431815,16045.1872,283350.048,4500917.488,899026.7282,7307.03953,45459.46716,1686.957276,14558.31804,6918.636673,1575883.863,17390.89682,25894.20868,2045.617196,359447.4186,44005.73406,5633645.828,23258.70546,2007118.193,93750.41311,8310.522893,969449.3621,338822.0392,26090.91004,226574.0356,246647.709,157740.3244,1849.856582,19609.4696,2201.682561,1832.243322,10264.75611,61231.11748,2108.688456,10097.23966,5627.115307,949542.0922,623.399444,15705.6436,5311.804032,9737.098564,38860.98241,3045.067128,4365.514525,33797.45829,4252.01498,32912.69592,282499.3194,4360.845664,49985.47155,24974.75941,189.9432925,1957.841242,1373787.044,6981.444559,39920.2371,69671.501,709.6469628,413.2774616,3738.65116,2355.440107,398.6868105,29997.14841,22585.68153,474543.7279,13037.31033,23213.87422,17436.37976,23937.55261,540489.947,59338.7306,37614.72179,842.1685387,124621.0875,193658.8206,34228.58507,17866.46937,16145.26312,21237.40562,3881.476523,23830.71449,5855.925186,1472.839085,388329.5649,91476.78103,9648.137525,7501.521662,13614.108,2721.742991,9480.613009,211233.595,41829.37205,231098.5975,29254.25593,10790.73841,6856.332087,9113.56505
